철도운영기관명,운영노선,역 종류,역 번호,역명(한글),역명(영어),역명(로마자),역명(일본어),역명(중국어간체),역명(중국어번체),역명(부역명),환승역 여부,환승노선명,유실물 취급여부,안전발판 유무,스크린도어 설치유무,승강장 연결여부,승강장 유형,역 위치(경도),역 위치(위도),역 주소(지번주소),역 주소(도로명 주소),역사 전화번호,신설일자,폐지일자,상행거리,하행거리,데이터 기준일자,참고사항,
공항철도,공항철도선,도시/광역철도,A01,서울역,Seoul Station,,ソウル駅,首尔站,首爾站,,가능,"1호선,4호선,경의중앙선,GTX-A",없음,,있음,있음,1섬1상대식,126.9704658,37.5490645,,서울특별시 용산구 청파로 378 (동자동) 공항철도 서울역,032-745-7400,20101229,,-,3.3 ,20250531,,수정
공항철도,공항철도선,도시/광역철도,A02,공덕,Gongdeok,,孔徳,孔德,孔德,,가능,"5호선,6호선,경의중앙선",없음,,있음,있음,상대식,126.9516296,37.5427105,,서울특별시 마포구 마포대로 지하 92(도화동) 공항철도 공덕역,032-745-7410,20111130,,3.3 ,2.8 ,20250531,,
공항철도,공항철도선,도시/광역철도,A03,홍대입구,Hongik Univ.,,弘大入口,弘大入口,弘大入口,,가능,"2호선,경의중앙선",없음,,있음,있음,상대식,126.9265227,37.5578854,,서울특별시 마포구 양화로 지하 188(동교동) 공항철도 홍대입구역,032-745-7420,20101229,,2.8 ,3.4 ,20250531,,
공항철도,공항철도선,도시/광역철도,A04,디지털미디어시티(스카이라이프),Digital Media City,,デジタルメディアシティ,数码媒体城,數碼媒體城,스카이라이프,가능,"6호선,경의중앙선",없음,,있음,있음,쌈섬식(2폼4선식),126.8972464,37.5783645,,서울특별시 마포구 성암로 지하 184(상암동) 공항철도 디지털미디어시티역,032-745-7430,20101229,,3.4 ,8.6 ,20250531,,
공항철도,공항철도선,도시/광역철도,A042,마곡나루,Magongnaru,,麻谷ナル,麻谷渡口,麻谷渡口,,가능,9호선,없음,,있음,있음,상대식,126.827608,37.5653322,,서울특별시 강서구 마곡중앙로 지하 135(마곡동),032-745-6280,20180929,,8.6 ,2.3 ,20250531,,
공항철도,공항철도선,도시/광역철도,A05,김포공항,Gimpo Int'l Airport,,金浦空港,金浦机场,金浦機場,,가능,"5호선,9호선,김포골드라인,서해선",없음,,있음,있음,쌈섬식(2폼4선식),126.8025118,37.5667733,,서울특별시 강서구 하늘길 지하 77(방화동) 공항철도 김포공항역,032-745-7440,20070323,,2.3 ,6.6 ,20250531,,
공항철도,공항철도선,도시/광역철도,A06,계양,Gyeyang,,桂陽,桂阳,桂陽,,가능,인천1호선,없음,,있음,있음,상대식,126.7366447,37.5714532,,인천광역시 계양구 다남로 24 (귤현동) 공항철도 계양역,032-745-7450,20070323,,6.6 ,5.5 ,20250531,,
공항철도,공항철도선,도시/광역철도,A07,검암(한국환경공단),Geomam,,黔岩,黔岩,黔巖,,가능,인천2호선,있음,,있음,있음,쌈섬식(2폼4선식),126.6731455,37.5692068,,인천광역시 서구 검바위로 26 (검암동) 공항철도 검암역,032-745-7460,20070323,,5.5 ,4.8 ,20250531,,
공항철도,공항철도선,도시/광역철도,A071,청라국제도시(하나금융타운),Cheongna Int'l City,,青羅国際都市,青罗国际城,靑羅國際城,하나금융타운,불가능,,없음,,있음,있음,섬식,126.6253775,37.5548865,,인천광역시 서구 에코로 151 (경서동) 청라국제도시역,032-745-7560,20140621,,4.8 ,10.2 ,20250531,,
공항철도,공항철도선,도시/광역철도,A072,영종,Yeongjong,,永宗,永宗,永宗,,불가능,,없음,,있음,있음,쌈섬식(2폼4선식),126.5237272,37.5118654,,인천광역시 중구 백운로414번길 75 (운복동) 영종역,032-745-7570,20160326,,10.2 ,3.6 ,20250531,,
